Movie,Year,Genre,IMDB Rating
Harry Potter and the Deathly Hallows: Part 2,2011,"['Adventure', 'Drama', 'Fantasy']",8.1
Shutter Island,2010,"['Mystery', 'Thriller']",8.1
Hachi: A Dog's Tale,2009,"['Drama', 'Family']",8.1
Mary and Max,2009,"['Animation', 'Comedy', 'Drama']",8.1
How to Train Your Dragon,2010,"['Animation', 'Action', 'Adventure']",8.1
Into the Wild,2007,"['Adventure', 'Biography', 'Drama']",8.1
No Country for Old Men,2007,"['Crime', 'Drama', 'Thriller']",8.1
Million Dollar Baby,2004,"['Drama', 'Sport']",8.1
Hotel Rwanda,2004,"['Biography', 'Drama', 'History']",8.1
Before Sunset,2004,"['Drama', 'Romance']",8.1
Memories of Murder,2003,"['Action', 'Crime', 'Drama']",8.1
Kill Bill: Vol. 1,2003,"['Action', 'Crime', 'Thriller']",8.1
Finding Nemo,2003,"['Animation', 'Adventure', 'Comedy']",8.1
Catch Me If You Can,2002,"['Biography', 'Crime', 'Drama']",8.1
Donnie Darko,2001,"['Drama', 'Sci-Fi', 'Thriller']",8.1
Amores Perros,2000,"['Drama', 'Thriller']",8.1
"Monsters, Inc.",2001,"['Animation', 'Adventure', 'Comedy']",8.1
The Sixth Sense,1999,"['Drama', 'Mystery', 'Thriller']",8.1
The Truman Show,1998,"['Comedy', 'Drama', 'Sci-Fi']",8.1
The Big Lebowski,1998,"['Comedy', 'Crime']",8.1
In the Mood for Love,2000,"['Drama', 'Romance']",8.1
Fargo,1996,"['Crime', 'Drama', 'Thriller']",8.1
La Haine,1995,"['Crime', 'Drama']",8.1
Before Sunrise,1995,"['Drama', 'Romance']",8.1
Jurassic Park,1993,"['Action', 'Adventure', 'Sci-Fi']",8.1
In the Name of the Father,1993,"['Biography', 'Drama']",8.1
Dead Poets Society,1989,"['Comedy', 'Drama']",8.1
Akira,1988,"['Animation', 'Drama', 'Sci-Fi']",8.1
The Princess Bride,1987,"['Adventure', 'Family', 'Fantasy']",8.1
Castle in the Sky,1986,"['Animation', 'Adventure', 'Drama']",8.1
Stand by Me,1986,"['Adventure', 'Drama']",8.1
Platoon,1986,"['Drama', 'War']",8.1
"Paris, Texas",1984,['Drama'],8.1
Nausicaä of the Valley of the Wind,1984,"['Animation', 'Adventure', 'Fantasy']",8.1
The Thing,1982,"['Horror', 'Mystery', 'Sci-Fi']",8.1
Gandhi,1982,"['Biography', 'Drama', 'History']",8.1
Stalker,1979,"['Drama', 'Sci-Fi']",8.1
Monty Python's Life of Brian,1979,['Comedy'],8.1
The Deer Hunter,1978,"['Drama', 'War']",8.1
Rocky,1976,"['Drama', 'Sport']",8.1
Network,1976,['Drama'],8.1
Barry Lyndon,1975,"['Adventure', 'Drama', 'History']",8.1
Butch Cassidy and the Sundance Kid,1969,"['Biography', 'Crime', 'Drama']",8.1
Cool Hand Luke,1967,"['Crime', 'Drama']",8.1
Persona,1966,"['Drama', 'Thriller']",8.1
8½,1963,['Drama'],8.1
